BLR - Categorization,Options,Builder / Developer,Building Name,Building Address / Location,Building Structure,Total Building Size [In Sq. Ft.],Available  Floors,Available - Area in Sft,Condition,Timeline
HSR Layout,,99 Tech Park,99 Tech Park,"HSR Extension, Bengaluru",,"1,80,000 Sft",Typical Floors,,Fully Furnished,Immediate
Whitefield,,Adarsh Developers,Adarsh Eco Place,"EPIP Area, Whitefield, Bengaluru",Ground + 6 floors,"2,10,478 Sft",GF,"8,000 Sft",,Immediate
Whitefield,,Adarsh Developers,Adarsh Eco Place,"EPIP Area, Whitefield, Bengaluru",Ground + 6 floors,"2,10,478 Sft",GF,"22,000 Sft",,Occupied
Whitefield,,Adarsh Developers,Adarsh Eco Place,"EPIP Area, Whitefield, Bengaluru",Ground + 6 floors,"2,10,478 Sft",1F,"4,550 Sft",,Immediate
Whitefield,,Adarsh Developers,Adarsh Eco Place,"EPIP Area, Whitefield, Bengaluru",Ground + 6 floors,"2,10,478 Sft",1F,"25,450 Sft",,Occupied
Whitefield,,Adarsh Developers,Adarsh Eco Place,"EPIP Area, Whitefield, Bengaluru",Ground + 6 floors,"2,10,478 Sft",2F,"9,300 Sft",,Immediate
Whitefield,,Adarsh Developers,Adarsh Eco Place,"EPIP Area, Whitefield, Bengaluru",Ground + 6 floors,"2,10,478 Sft",2F,"20,700 Sft",,Occupied
Whitefield,,Adarsh Developers,Adarsh Eco Place,"EPIP Area, Whitefield, Bengaluru",Ground + 6 floors,"2,10,478 Sft",3F,"14,262 Sft",,Immediate
Whitefield,,Adarsh Developers,Adarsh Eco Place,"EPIP Area, Whitefield, Bengaluru",Ground + 6 floors,"2,10,478 Sft",3F,"15,738 Sft",,Occupied
Whitefield,,Adarsh Developers,Adarsh Eco Place,"EPIP Area, Whitefield, Bengaluru",Ground + 6 floors,"2,10,478 Sft",4F,"30,000 Sft",,Occupied
Whitefield,,Adarsh Developers,Adarsh Eco Place,"EPIP Area, Whitefield, Bengaluru",Ground + 6 floors,"2,10,478 Sft",5F,"30,000 Sft",,Occupied
Whitefield,,Adarsh Developers,Adarsh Eco Place,"EPIP Area, Whitefield, Bengaluru",Ground + 6 floors,"2,10,478 Sft",6F,"30,000 Sft",,Occupied
ORR,,Adarsh Developers,Adarsh GEM,"Bellandur (ORR), Bengaluru",Basement + G + 5,"1,00,000 Sft",GF,"19,593 Sft",,Immediate
ORR,,Adarsh Developers,Adarsh GEM,"Bellandur (ORR), Bengaluru",Basement + G + 5,"1,00,000 Sft",1F,"20,513 Sft",,Immediate
ORR,,Adarsh Developers,Adarsh GEM,"Bellandur (ORR), Bengaluru",Basement + G + 5,"1,00,000 Sft",2F,"20,513 Sft",,Immediate
ORR,,Adarsh Developers,Adarsh GEM,"Bellandur (ORR), Bengaluru",Basement + G + 5,"1,00,000 Sft",3F,"20,513 Sft",,Immediate
ORR,,Adarsh Developers,Adarsh GEM,"Bellandur (ORR), Bengaluru",Basement + G + 5,"1,00,000 Sft",4F,"20,513 Sft",,Immediate
ORR,,Adarsh Developers,Adarsh GEM,"Bellandur (ORR), Bengaluru",Basement + G + 5,"1,00,000 Sft",4th Floor - West Portion,"8,947 Sft",,Immediate
ORR,,Adarsh Developers,Adarsh GEM,"Bellandur (ORR), Bengaluru",Basement + G + 5,"1,00,000 Sft",4th Floor - South-East Portion,"4,619 Sft",,Immediate
ORR,,Adarsh Developers,Adarsh GEM,"Bellandur (ORR), Bengaluru",Basement + G + 5,"1,00,000 Sft",4th Floor - North-East Portion,"5,047 Sft",,Occupied
Others,,Bagmane,Bagmane Capital - Damascus 1,"Bagmane Capital, Bengaluru",4B + G + 9,,Full Building (4B+G+9),"7,30,000 Sft",Warm Shell,Jan 2027
Others,,Bagmane,Bagmane Capital - Damascus 2,"Bagmane Capital, Bengaluru",,,4F,"83,673 Sft",Warm Shell,Dec 2026
Others,,Bagmane,Bagmane Capital - Damascus 2,"Bagmane Capital, Bengaluru",,,5F,"83,673 Sft",Warm Shell,Dec 2026
Others,,Bagmane,Bagmane Capital - Damascus 2,"Bagmane Capital, Bengaluru",,,6F,"75,315 Sft",Warm Shell,Dec 2026
Others,,Bagmane,Bagmane Capital - Damascus 2,"Bagmane Capital, Bengaluru",,,7F,"81,369 Sft",Warm Shell,Dec 2026
Others,,Bagmane,Bagmane Cosmos - Aurora,"Bagmane Cosmos, Bengaluru",3B + G + 10,,Full Building (3B + G + 10),"4,00,000 Sft",Warm Shell,Q4 2026
Others,,Bagmane,Bagmane Cosmos - Ceres,"Bagmane Cosmos, Bengaluru",3B + G + 10,,Full Building (3B+G+10),"6,00,000 Sft",Warm Shell,Q3 2026
Others,,Bagmane,Bagmane Cosmos - Vesta,"Bagmane Cosmos, Bengaluru",,,5F,"53,600 Sft",Warm Shell,Immediate
ORR,,Bagmane,Bagmane Encore,"Sarjapur-Marathahalli Outer Ring Road, Bengaluru",,,,,BTS,24-30 Months from Date of Signing
Whitefield,,Bagmane,Bagmane Luminary,"Nallurhalli, Whitefield, Bengaluru",,,,,BTS,24-30 Months from Date of Signing
Others,,Bagmane,Bagmane Sierra Business District - Alps North,"Bagmane Sierra Business District, Bengaluru",3B + G + 12,,,"7,00,000 Sft",BTS,24-30 Months from Date of Signing
Others,,Bagmane,Bagmane Sierra Business District - Alps South,"Bagmane Sierra Business District, Bengaluru",3B + G + 12,,,"8,00,000 Sft",Warm Shell,Q3 2026
Others,,Bagmane,Bagmane Solarium City - Building 13,"Bagmane Solarium City, Bengaluru",4B + G + 9,,Full Building (4B+G+9 floors),"5,65,000 Sft",,Q4 2027
Others,,Bagmane,Bagmane Solarium City - Building 15,"Bagmane Solarium City, Bengaluru",4B + G + 9,,Full Building (4B+G+9 floors),"6,80,000 Sft",Warm Shell,Q2 2027
Others,,Bagmane,Bagmane Solarium City - Building 16,"Bagmane Solarium City, Bengaluru",4B + G + 9,,Full Building (4B+G+9 floors),"5,32,000 Sft",,Q1 2028
Others,,Bagmane,Bagmane Solarium City - Neon,"Bagmane Solarium City, Bengaluru",,,3F,"56,221 Sft",Warm Shell,Immediate
Others,,Bagmane,Bagmane Solarium City - Radon,"Bagmane Solarium City, Bengaluru",,,9F,"98,564 Sft",Warm Shell,Immediate
Others,,Bagmane,Bagmane Solarium City - Radon,"Bagmane Solarium City, Bengaluru",,,8F,"98,564 Sft",Warm Shell,Immediate
Others,,Bagmane,Bagmane Solarium City - Radon,"Bagmane Solarium City, Bengaluru",,,7F,"98,563 Sft",Warm Shell,Immediate
Others,,Bagmane,Bagmane Solarium City - Radon,"Bagmane Solarium City, Bengaluru",,,6F,"89,524 Sft",Warm Shell,Immediate
Others,,Bagmane,Bagmane World Technology Centre - Aquamarine (SEZ),"Bagmane World Technology Centre, Bengaluru",,,8F,"23,486 Sft",Warm Shell,Immediate
Others,,Bagmane,Bagmane World Technology Centre - Citrine (SEZ),"Bagmane World Technology Centre, Bengaluru",,,8F,"60,684 Sft",Warm Shell,Oct 2026
Others,,Bagmane,Bagmane World Technology Centre - Citrine (SEZ),"Bagmane World Technology Centre, Bengaluru",,,9F,"60,684 Sft",Warm Shell,Oct 2026
Others,,Bagmane,Bagmane World Technology Centre - Opal,"Bagmane World Technology Centre, Bengaluru",,"6,94,300 Sft",2F,"59,000 Sft",Fully Furnished,Jun 2027
Others,,Bagmane,Bagmane World Technology Centre - Opal,"Bagmane World Technology Centre, Bengaluru",,"6,94,300 Sft",3F,"64,250 Sft",Fully Furnished,Jun 2027
Others,,Bagmane,Bagmane World Technology Centre - Opal,"Bagmane World Technology Centre, Bengaluru",,"6,94,300 Sft",4F,"64,250 Sft",Fully Furnished,Jun 2027
Others,,Bagmane,Bagmane World Technology Centre - Opal,"Bagmane World Technology Centre, Bengaluru",,"6,94,300 Sft",5F,"59,000 Sft",Fully Furnished,Jun 2027
Others,,Bagmane,Bagmane World Technology Centre - Opal,"Bagmane World Technology Centre, Bengaluru",,"6,94,300 Sft",6F,"65,300 Sft",Fully Furnished,Jun 2027
Others,,Bagmane,Bagmane World Technology Centre - Opal,"Bagmane World Technology Centre, Bengaluru",,"6,94,300 Sft",7F,"64,250 Sft",Fully Furnished,Jun 2027
Others,,Bagmane,Bagmane World Technology Centre - Opal,"Bagmane World Technology Centre, Bengaluru",,"6,94,300 Sft",8F,"64,250 Sft",Fully Furnished,Jun 2027
