developer_name,folder_category,source_file,source_format,file_size_kb,records_extracted_count,extraction_engines_used,status
99 Tech Park - HSR Extension,99 Tech Park - HSR Extension,99 Tech Park - HSR Extension\99TECH PARK BROCHURE_MR. SRINIVASULU.pdf,PDF_NATIVE,149482.57,4,"PDF Text Analysis (Pg 2), PDF Text Analysis (Pg 4), PDF Text Analysis (Pg 5), PDF Text Analysis (Pg 7)",100% EXTRACTED
Adarsh Developers,Adarsh Developers,Adarsh Developers\Adarsh Eco Place — Whitefield EPIP Pitch Deck with Vacancy Details .pdf,PDF_NATIVE,4626.59,3,"PDF Text Analysis (Pg 2), PDF Text Analysis (Pg 4), PDF Text Analysis (Pg 6)",100% EXTRACTED
Adarsh Developers,Adarsh Developers,"Adarsh Developers\Adarsh GEM, Lakeside Offices behind EcoWorld, ORR .pdf",PDF_NATIVE,3506.38,2,"PDF Text Analysis (Pg 3), PDF Text Analysis (Pg 7)",100% EXTRACTED
Bagmane Group,Bagmane Group,Bagmane Group\Bagmane Availability List July 2026.pdf,PDF_NATIVE,9537.61,23,"PDF Table (Pg 5), PDF Table (Pg 8), PDF Table (Pg 9), PDF Text Analysis (Pg 22), PDF Text Analysis (Pg 24), PDF Text Analysis (Pg 28)",100% EXTRACTED
Bhartiya City,Bhartiya City,Bhartiya City\Availability @ Bhartiya_BCIT_July 2026.pdf,PDF_NATIVE,2948.39,20,"PDF Table (Pg 2), PDF Table (Pg 3), PDF Text Analysis (Pg 6)",100% EXTRACTED
Bhartiya City,Bhartiya City,Bhartiya City\Bhartiya Converge_Managed Office_Corporate Profile_July.pdf,PDF_NATIVE,5507.1,5,"PDF Table (Pg 3), PDF Text Analysis (Pg 11), PDF Text Analysis (Pg 2)",100% EXTRACTED
Bhoruka Tech Park,Bhoruka Tech Park,Bhoruka Tech Park\Bhoruka Tech Park Building 2 Presentation (1).pdf,PDF_NATIVE,15194.6,10,"PDF Text Analysis (Pg 2), PDF Text Analysis (Pg 44), PDF Text Analysis (Pg 45), PDF Text Analysis (Pg 46), PDF Text Analysis (Pg 47), PDF Text Analysis (Pg 48), PDF Text Analysis (Pg 49), PDF Text Analysis (Pg 50), PDF Text Analysis (Pg 51), PDF Text Analysis (Pg 9)",100% EXTRACTED
Bhoruka Tech Park,Bhoruka Tech Park,Bhoruka Tech Park\Bhoruka Tech Park Building 2 Presentation.pdf,PDF_NATIVE,15194.6,10,"PDF Text Analysis (Pg 2), PDF Text Analysis (Pg 44), PDF Text Analysis (Pg 45), PDF Text Analysis (Pg 46), PDF Text Analysis (Pg 47), PDF Text Analysis (Pg 48), PDF Text Analysis (Pg 49), PDF Text Analysis (Pg 50), PDF Text Analysis (Pg 51), PDF Text Analysis (Pg 9)",100% EXTRACTED
Bhoruka Tech Park,Bhoruka Tech Park,Bhoruka Tech Park\Bhoruka Tech Park Quote.pdf,PDF_NATIVE,271.74,18,PDF Table (Pg 1),100% EXTRACTED
Bhoruka Tech Park,Bhoruka Tech Park,Bhoruka Tech Park\Bhoruka Tech park.pdf,PDF_NATIVE,20099.8,10,"PDF Text Analysis (Pg 10), PDF Text Analysis (Pg 2), PDF Text Analysis (Pg 34), PDF Text Analysis (Pg 35), PDF Text Analysis (Pg 36), PDF Text Analysis (Pg 37), PDF Text Analysis (Pg 38), PDF Text Analysis (Pg 39), PDF Text Analysis (Pg 40), PDF Text Analysis (Pg 42)",100% EXTRACTED
Brigade Group,Brigade Group,Brigade Group\Brigade Commercial Availability Chart - June.pdf,PDF_NATIVE,1809.82,1,PDF Text Analysis (Pg 13),100% EXTRACTED
Brookfield,Brookfield,Brookfield\BP_BCIT_Occupancy Solution_July_26 .pdf,PDF_NATIVE,17751.0,8,"PDF Text Analysis (Pg 13), PDF Text Analysis (Pg 3), PDF Text Analysis (Pg 4), PDF Text Analysis (Pg 40), PDF Text Analysis (Pg 41), PDF Text Analysis (Pg 42), PDF Text Analysis (Pg 5), PDF Text Analysis (Pg 9)",100% EXTRACTED
Brookfield,Brookfield,Brookfield\Brookfield - Coming up.xlsx,XLSX,7.87,1,Excel Table (Sheet1),100% EXTRACTED
Brookfield,Brookfield,Brookfield\Brookfield Properties - Whitefiled Bangalore Availability -July 2026 (1).pdf,PDF_NATIVE,993.42,1,PDF Inventory Record,100% EXTRACTED
Brookfield,Brookfield,Brookfield\Ecoworld Office Space Availability Report_July 2026.pdf,PDF_NATIVE,526.2,1,PDF Inventory Record,100% EXTRACTED
Brookfield,Brookfield,Brookfield\Northstar_Solutioning Deck I Brookfield Properties.pdf,PDF_NATIVE,2337.66,1,PDF Text Analysis (Pg 2),100% EXTRACTED
